"CrashCount","JitterMS","P50Milliseconds","P95Milliseconds","CommittedRate","Model"
0,10,360,389,1,"uncalibrated synthetic sensitivity model"
0,40,360,475,1,"uncalibrated synthetic sensitivity model"
0,80,360,590,1,"uncalibrated synthetic sensitivity model"
0,140,360,762,1,"uncalibrated synthetic sensitivity model"
1,10,405,434,1,"uncalibrated synthetic sensitivity model"
1,40,405,520,1,"uncalibrated synthetic sensitivity model"
1,80,405,635,1,"uncalibrated synthetic sensitivity model"
1,140,405,807,1,"uncalibrated synthetic sensitivity model"
2,10,450,479,1,"uncalibrated synthetic sensitivity model"
2,40,450,565,1,"uncalibrated synthetic sensitivity model"
2,80,450,680,1,"uncalibrated synthetic sensitivity model"
2,140,450,852,1,"uncalibrated synthetic sensitivity model"
3,10,495,524,1,"uncalibrated synthetic sensitivity model"
3,40,495,610,1,"uncalibrated synthetic sensitivity model"
3,80,495,725,1,"uncalibrated synthetic sensitivity model"
3,140,495,897,1,"uncalibrated synthetic sensitivity model"
