seed,packet_loss,blocks,commits,all_invariants_passed
0,0.00,72,8,true
0,0.05,70,7,true
0,0.15,66,6,true
0,0.30,58,4,true
1,0.00,72,8,true
1,0.05,71,8,true
1,0.15,68,7,true
1,0.30,62,4,true
2,0.00,72,8,true
2,0.05,71,8,true
2,0.15,68,7,true
2,0.30,67,4,true
3,0.00,72,8,true
3,0.05,70,7,true
3,0.15,68,5,true
3,0.30,59,0,true
4,0.00,72,8,true
4,0.05,72,8,true
4,0.15,68,7,true
4,0.30,65,1,true
5,0.00,72,8,true
5,0.05,72,8,true
5,0.15,67,5,true
5,0.30,63,4,true
6,0.00,72,8,true
6,0.05,71,8,true
6,0.15,68,6,true
6,0.30,66,3,true
7,0.00,72,8,true
7,0.05,71,8,true
7,0.15,68,7,true
7,0.30,62,3,true
8,0.00,72,8,true
8,0.05,72,8,true
8,0.15,69,7,true
8,0.30,68,4,true
9,0.00,72,8,true
9,0.05,70,8,true
9,0.15,67,6,true
9,0.30,60,0,true
10,0.00,72,8,true
10,0.05,70,8,true
10,0.15,66,6,true
10,0.30,65,3,true
11,0.00,72,8,true
11,0.05,70,8,true
11,0.15,67,6,true
11,0.30,60,2,true
12,0.00,72,8,true
12,0.05,69,7,true
12,0.15,69,7,true
12,0.30,67,3,true
13,0.00,72,8,true
13,0.05,72,8,true
13,0.15,67,6,true
13,0.30,63,1,true
14,0.00,72,8,true
14,0.05,72,8,true
14,0.15,70,7,true
14,0.30,69,5,true
15,0.00,72,8,true
15,0.05,69,7,true
15,0.15,63,6,true
15,0.30,63,4,true
16,0.00,72,8,true
16,0.05,72,8,true
16,0.15,69,6,true
16,0.30,61,1,true
17,0.00,72,8,true
17,0.05,71,8,true
17,0.15,70,7,true
17,0.30,68,5,true
18,0.00,72,8,true
18,0.05,69,7,true
18,0.15,68,7,true
18,0.30,63,1,true
19,0.00,72,8,true
19,0.05,71,8,true
19,0.15,70,6,true
19,0.30,62,2,true
